point_id,name,type,period,location_text,area_status,location_status,evidence_level,source_doc,longitude,latitude,elevation_m,geometry_note,blender_role,notes
SF01,兜率寺天梯,修梯记,明弘治七年,天梯寺前,山内,待刺点,文献明确,01_碑文逐条摘录.md,,,,线状通道,天梯与山体连接,起点终点及沿线控制点待采集
SF02,兜率禅寺,寺重修记,明嘉靖戊申,上房山巅,山内,待刺点,文献明确,01_碑文逐条摘录.md,,,,寺院主体,核心建筑群,现寺位置应作为首个控制点
SF03,文殊殿,香灯记,清康熙十二年,西茶罗顶,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,建筑遗址,文殊殿,需结合茶罗顶与兜率寺相对方位
SF04,普贤殿,殿宇,明清,东象王山,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,建筑遗址,普贤殿,需结合象王峰判读
SF05,观音殿,殿宇,明清,紫云岩摘星砣一带,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,建筑遗址,观音殿,与观音阁名称需区分
SF06,天香修道禅师塔,塔记,明万历七年,摘星砣朝阳洞,山内,待刺点,文献明确,01_碑文逐条摘录.md,,,,洞窟/塔,朝阳洞与塔,洞口朝向和塔址需现场确认
SF07,百咏南禅师塔,塔记,北齐隆化存疑,西峰西崖练若,山内,待考证,文献存疑,01_碑文逐条摘录.md,,,,塔,百咏塔,纪年与正文存在矛盾
SF08,明禅师塔,塔铭,金大定二年,上方山,山内,待考证,位置不明,01_碑文逐条摘录.md,,,,塔,明禅师塔,暂不伪定位
SF09,拙崖篮和尚塔,塔记,唐代后立碑,西南隅崖下极乐庵,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,崖下遗址,极乐庵与塔,纪年需复核
SF10,忏悔上人塔,塔记,辽大安六年,上方本院神隅,山内,待考证,术语存疑,01_碑文逐条摘录.md,,,,塔,本院塔,神隅方位含义需考证
SF11,遐龄益寿禅师塔,塔记,金正隆元年,西峰之侧,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,塔,遐龄塔,与西峰其他塔址需区分
SF12,崇公和尚塔,塔铭,金大定二十年,院西先茔北左,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,塔,崇公塔,依兜率寺与先茔相对位置判读
SF13,孤山银师塔,塔记,明崇祯甲申,孤山口村尊济禅寺,山外,待考证,文献明确,01_碑文逐条摘录.md,,,,塔,山外点位,须与景区核心区分层显示
SF14,苍林岫师塔,塔记,清乾隆丁巳,六聘山北隅,山外,待考证,地名存疑,01_碑文逐条摘录.md,,,,塔,山外点位,六聘山具体位置待地方志核对
SF15,道潜真禅师塔,塔记,清康熙五十二年,上方文殊座下,山内,待考证,相对位置,01_碑文逐条摘录.md,,,,塔,文殊殿塔林,需确认是否存在塔林遗迹
SF16,穆然普德禅师塔,塔记,清乾隆甲申,西崖石室,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,石室/塔,西崖石室,与百咏塔及西峰关系待现场分辨
SF17,水月禅师塔,行实记,清乾隆丁卯,山北翠微峰,山内,待刺点,文献较明确,01_碑文逐条摘录.md,,,,塔,翠微峰塔,可用山志方位辅助判读
SF18,道目禅师,自序,清康熙年间,观音殿,山内,待考证,文献明确,01_碑文逐条摘录.md,,,,人物关联点,观音殿法脉,这是僧人活动点而非明确塔址
SF19,大观佛日眼道人,记,清康熙年间,紫盖峰下碧云岭,山外,待考证,地名存疑,01_碑文逐条摘录.md,,,,塔,山外点位,太湖东南紫盖峰碧云岭需考证
